# Simulated random data file for batch processing
# timestamp: 2020-04-13 12:25:03
# JLW
#-------------------------------------------------

"var_x","var_y"
0.453137789387256,0.212632710346952
0.612331688404083,0.371942416531965
0.996818974148482,0.484011598862708
0.364149330649525,0.457384629407898
0.0488872013520449,0.516745841596276
0.768612231127918,0.0238579888828099
0.959595993859693,0.0434664024505764
0.830765941413119,0.592519723577425
0.500060318736359,0.845904805697501
0.28018997865729,0.310545899905264
0.888850090559572,0.40370378550142
0.937104556243867,0.869468283606693
0.444695099024102,0.554690352873877
0.654899639310315,0.432328535243869
0.545752605190501,0.229005259461701
0.242655096342787,0.181154762860388
0.640343799255788,0.327563459519297
0.168386464938521,0.09978082543239
0.396604909095913,0.382069325540215
0.552404785528779,0.0300663721282035
0.759053007466719,0.815136072225869
0.943262754473835,0.526488043600693
0.628224212676287,0.857121513225138
0.148952192161232,0.0670629423111677
0.462462529307231,NA
0.768844506703317,0.513265941990539
0.229201174108312,0.285841175820678
0.94983874890022,0.0885340021923184
0.168911647284403,0.591607854934409
0.435116806533188,0.993949634255841
0.505757288308814,0.793737619416788
0.0896174653898925,0.681328416569158
0.0794085839297622,0.537188705056906
0.990048965904862,0.15958431432955
0.468752273358405,0.472599702887237
0.0928853957448155,0.772067491197959
0.69812654866837,0.79806840303354
0.132917056325823,NA
NA,0.379370780428872
0.320207183249295,0.298033632570878
0.337458664784208,0.58896310813725
0.314177996944636,0.459987142588943
0.701329267118126,0.954411565326154
0.892422482836992,0.315312409074977
0.41119746491313,0.512973954901099
0.287826899671927,0.81737693422474
0.725859700702131,0.74721052008681
0.824511713115498,0.725538642611355
0.683028917061165,0.197160705924034
0.789357461500913,NA
NA,0.613564934348688
0.863686742261052,0.443726384546608
0.432579932035878,0.4466694931034
0.0469082959461957,0.902332039782777
0.30323357693851,0.193129200255498
0.397408244432881,0.371874655829743
0.391430068993941,0.264593929518014
0.52570348768495,0.24114594119601
NA,0.45434553315863
0.987213479820639,0.479633811162785
0.682876945938915,0.854474142659456
