1,188.86
2,177.14
3,141.63
4,202.19
5,168.8
6,156.52
7,169.09
8,183.39
9,206.01
10,130.1
11,161.72
12,21.87
13,162.41
14,24.22
15,166.58
16,205.59
17,95.56
18,55.73
19,184.11
20,255.91
21,163.8
22,178.07
23,194.6
24,241.09
25,151.64
26,126.26
27,214.56
28,204.79
29,149.1
30,143.08
31,156.97
32,335.66
33,183.43
34,231.28
35,19.97
36,60.56
37,37.87
38,25.28
39,206.92
40,164.54
41,133.24
42,108.79
43,137.88
44,243.77
45,129.78
46,202.18
47,158.28
48,145.69
49,154.52
50,134.36
51,115.06
52,253.37
53,140.89
54,195.62
55,208.89
56,104.66
57,170.97
58,176.87
59,150.61
60,215.74
61,29.63
62,15.22
63,20.78
64,29.09
65,155.29
66,167.38
67,154.61
68,122.3
69,163.86
70,159.76
71,179.42
72,161.5
73,252.62
74,209.85
75,134.14
76,129.3
77,240.34
78,189.11
79,215.43
80,131.44
81,84.4
82,198.2
83,141.43
84,141.13
85,105.23
86,24.91
87,28.04
88,30.11
89,173.31
90,220.4
91,170.88
92,219.48
93,188.3
94,113.41
95,164.94
96,167.26
97,205.71
98,132.96
99,198.26
100,207.9
101,159.03
102,156.3
103,220.33
104,232.87
105,126.38
106,128.84
107,200.43
108,112.45
109,274.85
110,53.72
111,121.75
112,31.24
113,53.22
114,134.41
115,157.86
116,177.88
117,226.94
118,229.21
119,249.29
120,207.79
121,216.55
122,200.49
123,197.51
124,167.64
125,210.57
126,102.53
127,163.33
128,197.14
129,173.61
130,105.46
131,242.43
132,116.3
133,230
134,61.89
135,62.01
136,56.51
137,37.6
138,241.2
139,171.46
140,256.99
141,108.21
142,92.85
143,247.62
144,97.79
145,188.31
146,279.22
147,258.15
148,209.4
149,214.61
150,287.27
151,199.64
152,107.33
153,237.47
154,67.99
155,271.39
156,326.71
157,410.98
158,283.83
159,36.06
160,61.46
161,42.3
162,109.36
163,172.85
164,222.84
165,141.12
166,194.92
167,305.9
168,148.63
169,232.04
170,196.22
171,221
172,267.51
173,282.35
174,176.24
175,181.04
176,148.96
177,122.05
178,125.46
179,178.19
180,145.43
181,155.29
182,173.02
183,65.73
184,71.58
185,80.62
186,37.5
187,221.43
188,176.47
189,203.31
190,134.93
191,133.23
192,86.97
193,165.18
194,102.53
195,162.88
196,174.58
197,111.71
